City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
333,Ayni,TJ,70.74,clear sky,39.3941,68.5377,Меҳмонхона СУҒД
342,Kalvarija,LT,68.59,broken clouds,54.4,23.2333,Guest House - Noclegi - Nakvyne in Kalvarija - Hotel
346,Kurunegala,LK,73.76,broken clouds,7.4863,80.3623,Galhena Estate Buluwala
349,Yarmouth,US,71.96,overcast clouds,41.7057,-70.2286,Blue Rock Resort
354,Taperoa,BR,70.3,broken clouds,-7.2075,-36.8267,Hotel Casarão Antigo
358,Tanga,TZ,71.31,light rain,-5.0667,39.1,Lulu Image Hotel
359,Belaya Glina,RU,67.68,overcast clouds,46.07,40.86,Zolotoy Kolos
374,Ocean City,US,75.45,moderate rain,39.2776,-74.5746,Biscayne Suites
379,San Cristobal,VE,71.78,light rain,7.7669,-72.225,Pirineos
388,Benguela,AO,69.94,clear sky,-12.5763,13.4055,Hotel Praia Morena
393,Suruc,TR,74.28,clear sky,36.9761,38.425,PEHLİVANKESMESİ KÖYÜ
399,Muhos,FI,69.58,broken clouds,64.808,25.9931,Montta - active camping / campsite Montan
400,Yenagoa,NG,74.55,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
402,Vila Velha,BR,67.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
413,Jablah,SY,68.29,few clouds,35.3614,35.9256,بستان صالح
415,Gualaquiza,EC,67.59,scattered clouds,-3.4,-78.55,Hotel Merceditas
421,Kelamangalam,IN,70.21,overcast clouds,12.6,77.85,RK biriyani hotel
424,Sakete,BJ,74.62,overcast clouds,6.7362,2.6587,IBUKUN OLUWA
425,Dor Marunt,RO,72.66,overcast clouds,44.45,26.9167,Jovan saveski
427,Zaraza,VE,72.55,overcast clouds,9.3503,-65.3245,Hotel Zaraza
429,Bekwai,GH,71.53,overcast clouds,6.4534,-1.5774,Annex Plaza Hotel
434,Helsinki,FI,71.62,clear sky,60.1695,24.9355,Scandic Hotel Simonkenttä
439,Zheleznodorozhnyy,RU,73.81,few clouds,55.7503,38.0042,Hotel Dali
442,Nicoya,CR,73.08,light rain,10.1483,-85.452,Las Cabinas Del Sueño
443,Camapua,BR,69.46,clear sky,-19.5314,-54.0439,Comercial Estrela
447,Pital,CO,71.76,scattered clouds,2.2665,-75.8044,Finca el Rebaño Vida el Uvital
454,Caravelas,BR,67.51,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
459,Xanlar,AZ,67.51,broken clouds,40.5869,46.3158,Goy Gol Lake Resort
465,Mabaruma,GY,74.17,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
466,Pogar,RU,68.59,clear sky,52.554,33.2591,"Gostinitsa ""U Gamleta"""
468,Mindelo,CV,74.75,few clouds,16.8901,-24.9804,Hotel Gaudi
477,Parakou,BJ,73.98,broken clouds,9.3372,2.6303,Benin Metropole Hotel
480,Boyuibe,BO,69.22,few clouds,-20.4167,-63.2833,Residencial Eluzai
482,Varzea Da Palma,BR,67.14,few clouds,-17.5981,-44.7308,Casa Fernandes
485,Le Port,RE,69.26,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
495,Antsohihy,MG,68.29,clear sky,-14.8796,47.9875,Hotel de Ville
501,Sete,FR,71.46,scattered clouds,43.4018,3.6966,Hotel De Paris Sète
503,Gamboma,CG,73.49,broken clouds,-1.8764,15.8644,Residence N'Keni
509,Araguacu,BR,75.99,clear sky,-12.9306,-49.8264,Hotel Tocantins
515,Saint-Paul,RE,69.37,clear sky,-21.0096,55.2707,Boucan Canot
523,Sao Gabriel Da Cachoeira,BR,74.1,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
528,Alta Floresta,BR,73.33,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
529,Aksay,RU,75.25,overcast clouds,47.26,39.87,Chernaya Zhemchuzhina
535,Saint-Pierre,RE,68.92,overcast clouds,-21.3393,55.4781,Alize Plage
545,Itacare,BR,71.65,scattered clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
548,Salamiyah,SY,69.69,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
565,Coxim,BR,72.81,clear sky,-18.5067,-54.76,Hotel Avenida
566,Placido De Castro,BR,75.34,clear sky,-10.3353,-67.1856,Hotel Carioca
568,Navahrudak,BY,68.23,overcast clouds,53.6,25.8333,Hotel Grazhina
577,Namibe,AO,67.03,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
581,Rypefjord,NO,70.27,clear sky,70.6333,23.6667,Skytterhuset
591,Bouna,CI,71.85,overcast clouds,9.2667,-3.0,Hôtel lababa
594,Belyy Yar,RU,71.49,clear sky,53.6039,91.3903,Pasportnyy Stol
600,Khandbari,NP,72.21,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
603,Sambava,MG,70.34,light rain,-14.2667,50.1667,Melrose
611,Brigantine,US,73.06,overcast clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
617,Hearst,CA,67.32,broken clouds,49.6835,-83.6665,Companion
637,Santo Antonio Do Ica,BR,74.55,few clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
639,Japura,ID,73.51,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
652,Sao Felix Do Xingu,BR,74.44,few clouds,-6.6447,-51.995,Rio Xingu Camping
654,Viransehir,TR,75.99,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
655,Suffolk,US,72.86,moderate rain,40.8668,-72.7996,Greenwood Village
661,Suez,EG,74.46,clear sky,29.9737,32.5263,Green House
663,Tonj,SS,72.9,overcast clouds,7.2737,28.6822,Lakan Hotel
678,San Matias,BO,74.61,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
682,Praia,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
684,Piranhas,BR,73.08,clear sky,-16.4269,-51.8222,Planalto Hotel
686,Inongo,CD,70.43,scattered clouds,-1.95,18.2667,Hotel Du Lac
687,Ibb,YE,72.21,overcast clouds,13.9667,44.1833,Hotel Amenities
688,Domoni,KM,74.86,few clouds,-12.2569,44.5319,Al Djadid
690,Big Rapids,US,68.32,clear sky,43.6981,-85.4837,"Holiday Inn Big Rapids, an IHG Hotel"
691,Makurdi,NG,73.65,overcast clouds,7.7411,8.5121,Doo Palace Hotel
692,Dennis,US,71.8,overcast clouds,41.7354,-70.1939,Sesuit Harbor House
695,Juba,SS,72.54,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
697,Tammisaari,FI,70.9,few clouds,59.9736,23.4339,Hotel Sea Front
698,Trebinje,BA,71.96,clear sky,42.7119,18.3442,Hotel Aćimović
705,Ilinskiy,RU,69.51,clear sky,55.619,38.1182,Around the world
706,Moanda,GA,72.1,light rain,-1.5575,13.2178,Heliconia Stadium Moanda
