City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
356,Oleksandrivka,UA,48.9634,32.2349,65.66,77,0,7.58,clear sky
357,Moussoro,TD,13.6408,16.4901,90.34,37,80,8.63,broken clouds
358,Tanga,TZ,-5.0667,39.1,71.31,85,77,12.95,light rain
359,Belaya Glina,RU,46.07,40.86,67.68,64,100,3.56,overcast clouds
360,Zaton,RU,53.2936,83.8072,54.99,82,0,11.18,clear sky
361,Galle,LK,6.0367,80.217,79.25,84,80,14.09,light rain
362,Badhni Kalan,IN,30.6833,75.2833,98.46,36,99,9.06,overcast clouds
363,Jalu,LY,29.0331,21.5482,85.37,29,0,12.82,clear sky
364,Eyl,SO,7.9803,49.8164,80.82,58,52,31.45,broken clouds
365,Chipiona,ES,36.7366,-6.437,66.42,82,0,2.3,clear sky
366,Villanueva De Cordoba,ES,38.3228,-4.6287,63.27,27,0,2.98,clear sky
367,Ancud,CL,-41.8697,-73.8203,48.22,89,100,18.54,light rain
368,Itarema,BR,-2.9248,-39.9167,78.12,85,40,10.25,scattered clouds
369,Plettenberg Bay,ZA,-34.0527,23.3716,58.86,53,3,5.17,clear sky
370,Cabanas,CU,22.9758,-82.9219,82.92,69,81,5.01,light rain
371,Jumla,NP,29.2747,82.1838,63.36,95,99,1.79,overcast clouds
372,Shubarshi,KZ,48.5872,57.1869,61.16,64,0,7.81,clear sky
373,Lundazi,ZM,-12.2929,33.1782,53.78,86,4,10.22,clear sky
374,Ocean City,US,39.2776,-74.5746,75.45,91,99,4.0,moderate rain
375,Mgandu,TZ,-5.95,34.1333,57.13,67,23,12.77,few clouds
376,La Ligua,CL,-32.4524,-71.2311,50.74,86,74,3.27,broken clouds
377,Bukama,CD,-9.2,25.85,68.16,42,3,5.97,clear sky
378,Zabid,YE,14.1951,43.3152,85.35,65,90,7.14,overcast clouds
379,San Cristobal,VE,7.7669,-72.225,71.78,78,38,3.31,light rain
380,Bezhta,RU,42.1338,46.1283,55.85,74,45,4.81,scattered clouds
381,Osakarovka,KZ,50.565,72.5692,47.37,81,0,1.34,clear sky
382,Barabinsk,RU,55.3571,78.357,51.15,86,98,14.58,overcast clouds
383,Arlit,NE,18.7369,7.3853,94.41,18,52,4.12,broken clouds
384,Ballina,AU,-28.8667,153.5667,55.36,75,96,14.0,overcast clouds
385,Salaga,GH,8.5508,-0.5188,76.91,81,67,4.99,broken clouds
386,Marsaxlokk,MT,35.8419,14.5431,85.08,42,0,10.36,clear sky
387,Natal,BR,-5.795,-35.2094,77.65,83,75,9.22,broken clouds
388,Benguela,AO,-12.5763,13.4055,69.94,73,2,1.92,clear sky
389,Sayla,IN,22.55,71.4667,82.98,71,74,11.59,broken clouds
390,Baglan,AF,36.1307,68.7083,86.74,16,0,3.69,clear sky
391,Atar,MR,20.5169,-13.0499,93.49,16,1,11.01,clear sky
392,Harrisonburg,US,38.4496,-78.8689,80.02,50,0,4.61,clear sky
393,Suruc,TR,36.9761,38.425,74.28,40,0,5.59,clear sky
394,Chicama,PE,-7.8447,-79.1469,59.54,76,56,8.52,broken clouds
395,West Lafayette,US,40.4259,-86.9081,78.89,29,0,8.05,clear sky
396,Calama,CL,-22.4667,-68.9333,59.49,29,100,10.36,overcast clouds
