City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Filadelfia,US,2022-06-21 03:51:09,39.9523,-75.1638,68.34,65,0,3.44
67,Inta,RU,2022-06-21 03:54:27,66.0317,60.1659,65.98,64,13,15.21
68,Pangnirtung,CA,2022-06-21 03:54:28,66.1451,-65.7125,38.79,79,4,4.45
69,Jaragua,BR,2022-06-21 03:49:52,-15.7569,-49.3344,64.38,59,0,3.44
70,Klaksvik,FO,2022-06-21 03:54:29,62.2266,-6.589,45.52,78,100,13.6
71,Touros,BR,2022-06-21 03:54:29,-5.1989,-35.4608,74.68,88,29,10.56
72,Lima,PE,2022-06-21 03:53:02,-12.0432,-77.0282,59.25,77,0,13.8
73,Hofn,IS,2022-06-21 03:54:30,64.2539,-15.2082,44.49,71,100,3.69
74,Mugumu,TZ,2022-06-21 03:54:31,-1.85,34.7,54.79,82,82,3.85
75,Busselton,AU,2022-06-21 03:54:31,-33.65,115.3333,64.08,71,100,14.63
76,Jamestown,US,2022-06-21 03:52:58,42.097,-79.2353,63.99,78,100,6.91
77,Mundwa,IN,2022-06-21 03:54:32,27.0667,73.8167,86.83,51,0,17.47
78,Bereznik,RU,2022-06-21 03:54:33,62.8551,42.7072,55.17,73,42,5.28
79,Harqalah,TN,2022-06-21 03:54:33,36.0303,10.509,69.66,72,0,2.3
80,Rocha,UY,2022-06-21 03:54:34,-34.4833,-54.3333,43.59,72,100,5.73
81,Doha,QA,2022-06-21 03:54:34,25.2867,51.5333,96.78,43,2,4.61
82,Aonla,IN,2022-06-21 03:54:35,28.2833,79.15,94.32,33,0,7.25
83,Kalety,PL,2022-06-21 03:54:35,50.5627,18.8926,54.9,93,40,11.5
84,Hithadhoo,MV,2022-06-21 03:54:36,-0.6,73.0833,83.26,72,56,12.01
85,Kalutara,LK,2022-06-21 03:54:36,6.5831,79.9593,82.13,81,88,12.1
86,Solotcha,RU,2022-06-21 03:54:37,54.7917,39.8442,56.77,83,87,2.37
87,Narasimharajapura,IN,2022-06-21 03:54:37,13.6167,75.5167,72.52,87,100,5.03
88,Itaituba,BR,2022-06-21 03:54:38,-4.2761,-55.9836,72.93,88,94,1.03
89,Yar-Sale,RU,2022-06-21 03:54:39,66.8333,70.8333,60.85,93,100,8.55
90,Alta Floresta,BR,2022-06-21 03:52:04,-9.8756,-56.0861,66.76,56,3,2.06
91,Georgetown,MY,2022-06-21 03:54:39,5.4112,100.3354,85.89,78,40,5.75
92,Ocean Springs,US,2022-06-21 03:54:13,30.4113,-88.8278,86.02,75,20,8.05
93,Namibe,AO,2022-06-21 03:54:40,-15.1961,12.1522,58.14,73,0,3.44
94,Thinadhoo,MV,2022-06-21 03:54:41,0.5333,72.9333,83.7,68,27,11.56
95,Rawson,AR,2022-06-21 03:55:41,-43.3002,-65.1023,38.59,78,16,15.99
96,Ponta Do Sol,PT,2022-06-21 03:55:42,32.6667,-17.1,66.7,67,42,6.15
97,Cravo Norte,CO,2022-06-21 03:55:42,6.3017,-70.2041,71.49,95,99,1.88
98,Tasiilaq,GL,2022-06-21 03:55:43,65.6145,-37.6368,38.46,85,98,7.11
99,Dakar,SN,2022-06-21 03:55:17,14.6937,-17.4441,80.73,83,40,6.91
100,Khash,IR,2022-06-21 03:55:44,28.2211,61.2158,75.78,18,0,11.88
101,Kutum,SD,2022-06-21 03:55:44,14.2,24.6667,74.86,52,30,3.31
102,Mwene-Ditu,CD,2022-06-21 03:55:45,-7.0,23.45,64.81,65,6,4.12
103,Krasnoselkup,RU,2022-06-21 03:55:45,65.7,82.4667,79.41,37,55,12.41
104,Faro,PT,2022-06-21 03:55:46,37.0194,-7.9322,62.19,72,0,3.44
105,Llangefni,GB,2022-06-21 03:55:47,53.2556,-4.3106,55.72,85,40,10.36
106,Luba,GQ,2022-06-21 03:55:47,3.4568,8.5547,69.69,83,52,6.46
107,South Venice,US,2022-06-21 03:55:48,27.0531,-82.4243,80.01,90,75,11.5
108,Kyabe,TD,2022-06-21 03:55:48,9.4515,18.9449,74.17,80,100,4.63
109,Hobyo,SO,2022-06-21 03:55:49,5.3505,48.5268,78.53,76,79,24.25
110,Najran,SA,2022-06-21 03:55:50,17.4924,44.1277,77.65,18,98,4.83
111,Talcahuano,CL,2022-06-21 03:55:50,-36.7167,-73.1167,51.48,87,100,9.22
112,Piranshahr,IR,2022-06-21 03:55:51,36.701,45.1413,77.32,21,0,1.21
113,Dalbeattie,GB,2022-06-21 03:55:51,54.9328,-3.8227,54.84,89,81,3.29
